Job Title,Job Location,Experience,Salary,Link
Data Scientist,Bangalore,3,15,https://example.com/job1
Software Engineer,Hyderabad,2,12,https://example.com/job2
Data Analyst,Chennai,1,10,https://example.com/job3
Product Manager,Delhi,5,20,https://example.com/job4
Machine Learning Engineer,Pune,4,18,https://example.com/job5
Data Scientist,Bangalore,2,14,https://example.com/job6
Software Engineer,Hyderabad,3,13,https://example.com/job7
Business Analyst,Chennai,4,16,https://example.com/job8
Data Engineer,Delhi,3,17,https://example.com/job9
Research Scientist,Pune,5,22,https://example.com/job10
Software Developer,Mumbai,1,9,https://example.com/job11
Product Designer,Bangalore,6,25,https://example.com/job12
UI/UX Designer,Hyderabad,2,12,https://example.com/job13
Data Architect,Chennai,7,28,https://example.com/job14
AI Specialist,Delhi,5,21,https://example.com/job15
Database Administrator,Pune,4,17,https://example.com/job16
Full Stack Developer,Mumbai,3,14,https://example.com/job17
DevOps Engineer,Bangalore,3,16,https://example.com/job18
Mobile App Developer,Hyderabad,2,11,https://example.com/job19
Cloud Engineer,Chennai,4,19,https://example.com/job20
Game Developer,Delhi,2,10,https://example.com/job21
Business Intelligence Analyst,Pune,6,24,https://example.com/job22
Product Manager,Mumbai,5,20,https://example.com/job23
QA Engineer,Bangalore,3,13,https://example.com/job24
Cybersecurity Analyst,Hyderabad,4,18,https://example.com/job25
Backend Developer,Chennai,5,17,https://example.com/job26
Front End Developer,Delhi,3,15,https://example.com/job27
Machine Learning Engineer,Mumbai,6,23,https://example.com/job28
Data Analyst,Bangalore,2,12,https://example.com/job29
Software Engineer,Pune,4,16,https://example.com/job30
Cloud Solutions Architect,Chennai,7,27,https://example.com/job31
Artificial Intelligence Engineer,Hyderabad,6,22,https://example.com/job32
Data Scientist,Delhi,3,19,https://example.com/job33
QA Tester,Pune,1,8,https://example.com/job34
Game Designer,Mumbai,5,21,https://example.com/job35
IT Support Specialist,Bangalore,2,10,https://example.com/job36
Network Engineer,Hyderabad,3,15,https://example.com/job37
Digital Marketing Manager,Chennai,4,18,https://example.com/job38
Content Strategist,Delhi,3,14,https://example.com/job39
Sales Engineer,Pune,2,11,https://example.com/job40
HR Manager,Mumbai,5,22,https://example.com/job41
Data Engineer,Chennai,3,16,https://example.com/job42
Business Analyst,Delhi,4,19,https://example.com/job43
Cloud Engineer,Bangalore,5,20,https://example.com/job44
Solutions Architect,Hyderabad,6,24,https://example.com/job45
Software Tester,Pune,2,10,https://example.com/job46
Digital Marketing Specialist,Mumbai,3,13,https://example.com/job47
Product Owner,Bangalore,4,18,https://example.com/job48
System Administrator,Hyderabad,2,12,https://example.com/job49
Technical Writer,Chennai,3,14,https://example.com/job50
